GEOID10,Category
6075023200,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075980900,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075023200,Streetlights
6075023200,Street and Sidewalk Cleaning
6075023200,Street Defects
6075023102,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075980900,Street Defects
6075980900,Sewer Issues
6075980900,General Requests
6075980900,Graffiti Public Property
6075980900,Street Defects
6075980900,Sidewalk or Curb
6075980900,Street and Sidewalk Cleaning
6075980900,Abandoned Vehicle
6075980900,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,General Requests
6075023102,Street and Sidewalk Cleaning
6075060700,General Requests
6075060700,Graffiti Public Property
6075980900,Street and Sidewalk Cleaning
6075023102,Sewer Issues
6075023102,Sewer Issues
6075023102,Sewer Issues
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075023102,Sidewalk or Curb
6075023102,Abandoned Vehicle
6075023102,Sidewalk or Curb
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Sewer Issues
6075023102,Sewer Issues
6075023102,Sewer Issues
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,MUNI Feedback
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Abandoned Vehicle
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Tree Maintenance
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075061200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075980900,Abandoned Vehicle
6075980900,Graffiti Public Property
6075980900,Illegal Postings
6075980900,Abandoned Vehicle
6075022600,Blocked Street or SideWalk
6075023102,Abandoned Vehicle
6075023102,Abandoned Vehicle
6075023102,Abandoned Vehicle
6075060700,Damaged Property
6075060700,General Requests
6075023200,Blocked Street or SideWalk
6075023200,General Requests
6075023200,Street and Sidewalk Cleaning
6075023102,General Requests
6075023102,Sewer Issues
6075023102,Street and Sidewalk Cleaning
6075980900,Street and Sidewalk Cleaning
6075980900,MUNI Feedback
6075980900,Street and Sidewalk Cleaning
6075980900,Sidewalk or Curb
6075980900,Street and Sidewalk Cleaning
6075980900,Graffiti Public Property
6075980900,General Requests
6075060700,Damaged Property
6075060700,Street and Sidewalk Cleaning
6075060700,Graffiti Public Property
6075060700,Graffiti Public Property
