STATE,COUNTY_CODE,COUNTY,TRACT,pop_tot,insured,uninsured,pct_unins,pct_insur,med_age,age_undr25,age_25_64,age_65over,pct_undr25,pct_25_64,pct_65over,labor_frc,employed,unemployed,pct_empl,pct_unemp,married,pct_mar,white,pct_white,hisp,pct_hisp,med_income
Arizona,13,Maricopa County,61036,2903,2696,152,0.0533707865,0.9466292135,31.1,1278,1481,144,0.4402342404,0.5101619015,0.0496038581,1349,1186,108,0.8791697554,0.0800593032,1175,0.6056701031,1637,0.5638994144,431,0.148467103,84643
Arizona,13,Maricopa County,61037,5006,4784,222,0.0443467839,0.9556532161,30.1,2105,2588,313,0.4204954055,0.5169796245,0.06252497,2509,2338,171,0.9318453567,0.0681546433,2102,0.6083936324,3559,0.7109468638,1137,0.2271274471,77130
Arizona,13,Maricopa County,61038,4542,4207,328,0.0723263506,0.9276736494,33.3,1792,2392,358,0.3945398503,0.5266402466,0.0788199031,2350,2128,215,0.9055319149,0.0914893617,1687,0.5205183585,2442,0.5376486129,1171,0.2578159401,58516
Arizona,13,Maricopa County,61039,4608,4290,245,0.0540242558,0.9459757442,31.6,2103,2133,372,0.4563802083,0.462890625,0.0807291667,2083,1881,129,0.9030244839,0.0619299088,1973,0.630956188,3094,0.6714409722,988,0.2144097222,93600
Arizona,13,Maricopa County,61040,4158,3516,642,0.1544011544,0.8455988456,29.8,1615,2278,265,0.3884078884,0.5478595479,0.0637325637,2348,2127,221,0.9058773424,0.0941226576,1642,0.50106805,2180,0.5242905243,1489,0.3581048581,51242
Arizona,13,Maricopa County,61041,4606,3850,756,0.1641337386,0.8358662614,31.1,1778,2680,148,0.3860182371,0.5818497612,0.0321320017,2307,2127,180,0.921976593,0.078023407,1562,0.4588719154,1858,0.4033868867,2092,0.4541901867,54063
Arizona,13,Maricopa County,61042,1919,1806,113,0.0588848359,0.9411151641,54.4,452,725,742,0.2355393434,0.377800938,0.3866597186,621,544,77,0.8760064412,0.1239935588,1057,0.685029164,1424,0.7420531527,448,0.2334549244,48464
Arizona,13,Maricopa County,61043,2697,2408,285,0.1058299294,0.8941700706,31.6,1048,1624,25,0.3885799036,0.6021505376,0.0092695588,1518,1428,86,0.9407114625,0.0566534914,1079,0.5312653865,1281,0.4749721913,1066,0.3952539859,85625
Arizona,13,Maricopa County,61044,6807,6265,523,0.0770477313,0.9229522687,31.1,2997,3333,477,0.4402820626,0.4896430145,0.0700749229,3131,2925,187,0.9342063239,0.0597253274,2889,0.6367643818,4682,0.6878213604,1465,0.2152196269,74446
Arizona,13,Maricopa County,61045,5317,4819,460,0.0871377155,0.9128622845,46.6,1466,2897,954,0.2757193906,0.5448561219,0.1794244875,2536,2396,140,0.9447949527,0.0552050473,2597,0.5948236372,4038,0.7594508181,753,0.141621215,83509
Arizona,13,Maricopa County,61046,5754,5202,542,0.0943593315,0.9056406685,30.5,2480,2925,349,0.4310045186,0.5083420229,0.0606534585,2882,2788,84,0.9673837613,0.0291464261,2320,0.536416185,2455,0.426659715,1845,0.3206465068,72923
Arizona,13,Maricopa County,61047,3549,3181,368,0.1036911806,0.8963088194,34.7,1374,1943,232,0.3871513102,0.5474781629,0.0653705269,1914,1807,107,0.9440961338,0.0559038662,1676,0.6225854383,2001,0.5638207946,835,0.235277543,95804
Arizona,13,Maricopa County,61100,2531,1383,90,0.0610997963,0.9389002037,22,1679,804,48,0.6633741604,0.3176610036,0.018964836,1491,517,21,0.3467471496,0.014084507,800,0.4138644594,1510,0.5966021335,495,0.1955748716,47831
Arizona,13,Maricopa County,61200,6127,4691,1279,0.2142378559,0.7857621441,26.8,2938,2801,388,0.4795168924,0.4571568467,0.0633262608,2617,2370,233,0.9056171188,0.0890332442,1567,0.3741642789,1107,0.1806756977,4573,0.7463685327,26993
Arizona,13,Maricopa County,61300,2092,1762,326,0.1561302682,0.8438697318,37.1,739,1152,201,0.353250478,0.5506692161,0.0960803059,1008,960,44,0.9523809524,0.0436507937,796,0.4635993011,824,0.3938814532,1176,0.5621414914,44514
Arizona,13,Maricopa County,61401,2082,1508,574,0.2756964457,0.7243035543,27.7,953,1024,105,0.4577329491,0.4918347743,0.0504322767,945,793,152,0.8391534392,0.1608465608,579,0.3920108328,235,0.1128722382,1658,0.7963496638,27188
Arizona,13,Maricopa County,61402,5121,4287,821,0.1607282694,0.8392717306,25.9,2371,2388,362,0.4629955087,0.4663151728,0.0706893185,2095,1827,255,0.8720763723,0.1217183771,1459,0.3976560371,581,0.1134544034,3668,0.7162663542,25899
Arizona,13,Maricopa County,71503,4822,4595,105,0.0223404255,0.9776595745,76.2,15,998,3809,0.0031107424,0.206968063,0.7899211945,768,694,74,0.9036458333,0.0963541667,2757,0.5735385896,4617,0.9574865201,97,0.0201161344,34354
